review_id,review_title,avg_rating,rating,review_text,Type_Of_Traveler,Stayed_Period,Reservation ID,Guest ID,Room Number,Hotel ID
15,Superb,8.4,9,The breakfast should be better for that hotel level.,Family with young children,Stayed 6 nights,1015,115,22,15
16,Exceptional,9.1,10,"The B&B is located just next to Place Jourdan, so there are various options for dinner in the evening. The family is super nice and helpful and the breakfast is prepared in advance so everything is super COVID-safe!",Solo traveller,Stayed 2 nights,1016,116,51,16
17,Excellent,9.7,9.6,"Nothing,

The peacefulness, the spectacular decor, the kindness of the hosts, nothing was to much trouble",Couple,Stayed 2 nights,1017,117,100,17
18,Exceptional,8.8,10,"Nothing!,

Perfect! Near the central station and another facilities",Couple,Stayed 1 night,1018,118,34,18
19,Lovely break in a lovely area. Car absolutely required.,9.3,10,"Nothing :-),

Lovely area, lovely house, lovely hosts, a very rural area. Dinant 13 miles (20 km) to the North East is beautiful, a must see, drive along the river from Givet (6 miles (10 km) to the South East) to have the best experience.Thank you so much for your warm welcome and lovely stay. We would all love to visit again.",Family with young children,Stayed 7 nights,1019,119,72,19
20,Christmas stay,7.8,9,"The stains on the floor in the room because of other customers ... .,

Everything",review_id,Stayed 2 nights,1020,120,98,20
21,Excellent.,9.5,9,"nothing,

Breakfast was super and more then enough. Super friendly host and very flexible. The B&B also had a very good parkinglot, easily accesible.",Couple,Stayed 3 nights,1021,121,58,21
22,Great location!,8.4,8,"The rooms seemed a little dated. ,

The location was perfect. The staff was helpful. I recommend parking at the Parking Vrijdamarkt. It was clean and reasonably priced. It fit our minivan as well. Just a 3 minute walk from the hotel.",Family with young children,Stayed 1 night,1022,122,49,22
23,Exceptional,9.1,10,"there are no negative things 😊,

i like this very much!",Solo traveller,Stayed 1 night,1023,123,9,23
24,Tranquil Residence in the Middle Of the Town,9.7,10,"Nothing to dislike. ,

From the first moment we arrived we felt completely welcomed. The calm gardens, the duck pond, the trees, all added to the tranquil setting. Beautiful clean property, extremely comfortable bed, elegant decor. Tea and coffee, plus room fridge and snacks available. Wonderful breakfasts, almond croissants to die for! Owners could not do enough and we will definitely be returning.",Couple,Stayed 3 nights,1024,124,7,24
25,Amazing beautiful place! I would definitely recommend this place:),8.8,10,Amazing beautiful place! I would definitely recommend this place:),Couple,Stayed 1 night,1025,125,27,25
26,Fabulous,9.3,8.8,There are no comments available for this review,Family with young children,Stayed 2 nights,1026,126,69,26
27,Superb,7.8,9.2,"Excellent breakfastVery professional staff, ready to help to get your preferred room if you already went at this hotel.",Couple,Stayed 1 night,1027,127,13,27
28,Perfect accomodation,9.5,10,"Private parking area, pretty much brand new building, modern but cozy and warm, tastefully decorated, very friendly owner.",Deluxe Double Studio,Submitted via mobile,1028,128,48,28
29,Good location to explore the city,8.4,8,"The matrasses where to soft for me, but that's person related.,

Kind staff, good location to explore the city.",Family with young children,Stayed 1 night,1029,129,18,29
30,Exceptional,9.1,10,"Nothing ,

Lovely welcome. Really clean and real attention to detail with the lovely breakfast. Thank you!",Solo traveller,Stayed 2 nights,1030,130,93,30
31,It was a stay never to forget!,9.7,10,"We especially liked our extra large suite, the luxurious and very fresh bedlinen and soft towels. Breakfast was outstanding: orangejuice, coffee, fresh fruit, all kinds of bread and rolls... We were especially surprised by the kind character and hospitality of Liesbeth.",Couple,Stayed 1 night,1031,131,96,31
32,Very close to the gare. A nice romatic getaway,8.8,10,"Nothing to say,

Very close to the gare. A nice romatic getaway",Couple,Stayed 1 night,1032,132,13,32
33,Exceptional,8.5,10,Staff ap friendly and Helpful. Thank you,Couple,Stayed 2 nights,1033,133,36,33
34,Definitely the place to stay in Gent,8.5,9,"The room setup was a bit strange with a double door, the separation of bathroom and room not ideal and some equipment not of great style.,

Great bed, a lot of space in the room and bathroom, free parking right on premises, snack bar 24/7 and free water in the room. The breakfast area is very pretty especially when the weather permits the terrace space and the breakfast itself is very good. Above all the staff was very friendly.",Couple,Stayed 1 night,1034,134,36,34
35,"Excellent hotel, we only had an overnight stay so didn’t use any of the extra facilities",7.8,7.9,Excellent breakfast,Couple,Stayed 1 night,1035,135,61,35
36,Nice and warm B&B,9.5,9.6,"It was new, cozy, and the owner was a nice person.  The breakfast was amazing. Very good value!",Family with young children,Stayed 1 night,1036,136,79,36
37,Good,8.4,7,It needs to be more clean. But it is in an excellent location and the staff was very friendly!!!,Family with young children,Stayed 2 nights,1037,137,60,37
38,Very good,9.1,8,"Very small table - not really appropriate for work.,

Very friendly host. Very quiet over night.",Solo traveller,Stayed 1 night,1038,138,50,38
39,My first choice on our next stay in Kortrijk.,9.7,10,"A great private atmosphere, good facilities and the experience of nature and city perfectly united.",Group,Stayed 4 nights,1039,139,93,39
40,Good,7.9,7.1,"Broken shower and TV.,

The room was satisfactory apart from the bathroom. The hotel has also a nice restaurant which was probably the only place in town to eat in the evening. The staff was very friendly.",Family with young children,Stayed 1 night,1040,140,18,40
41,Cosy apartment in city centre,8.2,9,"Very good location
cosy and spacious appartment
Very kind hostess",Couple,Stayed 2 nights,1041,141,8,41
42,Exceptional,8.8,10,"People are nice.
Wonderful room and cleanness.
Really easy to find!",Solo traveller,Stayed 1 night,1042,142,10,42
43,Very good,8.5,8,"Windows opened onto a deep light-well so little daylight. It took a very long time to draw hot water.,

Room comfortable and well equipped. Hotel was quiet (possibly for external reasons) and close to city attractions.",Solo traveller,Stayed 2 nights,1043,143,93,43
44,Very good,8.5,8,"It was too dark in the room, old wooden floors.,

Small but cute room with a bathroom with whirlpool. Very nice and polite staff!",Couple,Stayed 1 night,1044,144,74,44
45,Good,7.7,7.5,"The WiFi is very bad :(,

It was very clean",Solo traveller,Stayed 2 nights,1045,145,5,45
46,"Very nice stay , beautifully room, nice view in the way up to the accommodation.",8.1,8,"Bed fabulous but very uncomfortable ( difficult to get in and out, very uncomfortable for sleeping ( you roll in the middle of it, too soft, it feels like a waterbed) Very nice linnen sheets, but a bit smelly for not being dried properly. Shower difficult to use. A modern one with a lot of gadgets, but really not necessary. When getting in, you get a bunch of cold water on your head plus cold water on your body from the sides. Feel horrible. The shower head almost useless ( just a bit of water comes out of it). When arrived and during the breakfast next they the host was calling, so we could hardly talk to each other and ask what we needed in a normal way. She could  pay more attention to her quests. Missed a Tv but for one night ok.,

Location, beautiful room",Couple,Stayed 1 night,1046,146,42,46
47,"Out of season and quiet, a pleasant break on the Belgian coast.",7.8,9.2,"Noise from the lift during the night. Bright flashing red lights from the smoke detector. Heavy quilt, too hot.,

The swimming pool and sauna in the basement were a great place to relax! Very good breakfast with a wide choice. Helpful staff.",Couple,Stayed 2 nights,1047,147,55,47
48,Exceptional,9.5,10,Lovely B&B with excel.lent owner. All was very tidy and clean.,Solo traveller,Stayed 3 nights,1048,148,51,48
49,Well placed and friendly hotel,8.4,9,"Good location, nice staff, clean, good price. Also pet friendly, so this is also a plus.",Family with young children,Stayed 1 night,1049,149,12,49
50,Superb,9.1,9,"A bit away from metro station,

Enough space, clean and friendly service",Family with young children,Stayed 2 nights,1050,150,5,50
51,The place to be when you're in Kortrijk!!!,9.7,10,"The Villa Pura Vida was lovely, super clean with most comfortable bed I have ever slept on! and OMG love they pillows!!!:))) bathroom with shower and bad very clean. Stylish and design look...  Breakfast was great! Thumbs up for Liesbeth !!",Couple,Stayed 1 night,1051,151,53,51
52,Pleasant one night stopover on way to Germany.,7.9,9.2,"La Louviere not a pretty place.  Entry to car park very narrow, through building.,

Good Italian restaurant in the hotel.  Good level parking.",Couple,Stayed 1 night,1052,152,63,52
53,Superb cosy apartment in the very heart of town!,8.2,9,"The bathroom can only be reached through the bedroom.,

It's in the heart of the city, fantastic location!",Group,Stayed 2 nights,1053,153,58,53
54,"Great place, in a lovely location",8.8,8,"Door system didn't work at first, but Johan fixed it very quickly and we didn't have any problems after that.,

Lovely place, very clean and great facilities. Electric lock system meant we were free to arrive later in the evening.",Solo traveller,Stayed 1 night,1054,154,89,54
55,I enjoyed the time I was here and I definitely recommend this place.,9.2,10,"Very clean and warm chalet. Friendly hosts willing to help and provide everything that is needed.Burning wood to keep the place warm (although there are more than enough electric heaters) gave the place an awsome atmosphere.",Couple,Stayed 2 nights,1055,155,63,55
56,Fab place,9.2,9.6,"I loved it, brilliant location, sparkling clean, amazing minimal decor. Very comfy bed, amenities fabulous.",Family with young children,Stayed 3 nights,1056,156,86,56
57,Typical Conference Hotel close to Brussels Noord - all you need / not very individual,8.5,8,"breakfast did not provide a lot of selection and was located in a dark room without windows;,

large conference hotel close to Brussels Noord station; very tidy and functionally equipped room; free coffee and water at the room; all necessities were available;",Solo traveller,Stayed 1 night,1057,157,22,57
58,Excellent stay,8.5,10,"Super nice breakfast, keep it up. 
Thank you.",Couple,Stayed 1 night,1058,158,80,58
59,Very good,7.7,8.3,"In the hot weather, a fan would have been a welcome addition",Solo traveller,Stayed 4 nights,1059,159,76,59
60,Very good,8.1,8,"Attention to allergies, and experience in dealing with them.",Family with young children,Stayed 1 night,1060,160,63,60
61,Good,7.8,7.1,"No real bar and restaurant was closed,

Clean and friendly",Family with young children,Stayed 1 night,1061,161,86,61
62,Highly recommended. Tastefully furnished. Great hosts,9.5,10,"Fantastic hostsVery tastefully furnishedGreat BreakfastPerfect location",Family with young children,Stayed 2 nights,1062,162,12,62
63,Superb,8.4,9,"The location cannot be better, in the heart of the city. Great facilities, friendly staff... I only have compliments.",Couple,Stayed 2 nights,1063,163,71,63
64,Excellent cozy B&B in great location,9.1,10,"Nothing,

Family home-like feeling",Solo traveller,Stayed 3 nights,1064,164,22,64
65,Exceptional,9.7,10,"Everything was so amazing and clean. You feel like you are in Bali 🌴❤️. 
I cant wait to come back to visit this lovely Bed And Breakfast. 
The host was so kind, lovely and she make the Best breakfast and coffee.",Couple,Stayed 1 night,1065,165,27,65
66,Good,7.9,7.1,"The airconditioning was too strong. The bedsheets were thin.   ,

The room was big.  Nice shower.",Solo traveller,Stayed 1 night,1066,166,43,66
67,Excellent stay and we would definitely come back,8.2,9.6,"Doesn't have wifi,

The host was extremely accommodating and the apartment was quiet and comfortable with a good bathroom and a large kitchen area. Durbuy is a lovely town with so much to offer and the property location is fantastic.",Couple,Stayed 2 nights,1067,167,79,67
68,One word: A-MA-ZING!,8.8,10,"Just everything from the location (city center but still no noise) and accessibility to the host Johan to the room itself. Perfect to stay alone or in couple. I have enjoyed my time here and will definitely come back. 
Tip: tell them the purpose of your stay and they’ll adjust to it and give tips.",Solo traveller,Stayed 2 nights,1068,168,33,68
69,Superb,9.2,9,"The sleeping couch is in the living room and is a little bit noisy,

The location, the view and the wood interior makes it a beautiful place. Would highly recommend it",Couple,Stayed 3 nights,1069,169,1,69
70,Exceptional,9.2,10,"nothing to say,

Very well located, modern and good taste decorated, spacious, all facilities, clean. Good communication with the owner. Very good priced for its quality! Thank you!",People with friends,Stayed 4 nights,1070,170,85,70
71,Close to metro station,8.5,9,"none,

Room, location, breakfast - everything according to prior expectations.",Solo traveller,Stayed 1 night,1071,171,12,71
72,"Astoria really exceed my expectations, great attention to details!",8.5,10,"Vicinity to train stationAttention to detailsStaff",Solo traveller,Stayed 1 night,1072,172,65,72
73,Good,7.7,7.9,"Nothing,

Large comfortable rooms suited for double occupancy. Bed was very comfortable.
Quiet and serene",Solo traveller,Stayed 3 nights,1073,173,65,73
74,A nice vacation,8.1,10,The rooms were clean and cozy for a couple... a very good host with delicious breakfast. Was able to visit the nearby places easing car or also by foot.,People with friends,Stayed 3 nights,1074,174,99,74
75,Exceptional,7.8,10,Alles was tiptop in orde,Couple,Stayed 1 night,1075,175,47,75
76,Exceptional,9.5,9.6,"I really loved the accommodation. The lady who runs the place is very friendly. The rooms are in an old farm which has been renovated with much taste. The breakfast was very good. Although not far away from a rather busy street, the house is in a quite neighbourhood where you can sleep with an open window and in the morning enjoy the birds singing.",Solo traveller,Stayed 1 night,1076,176,68,76
77,Better Novotel then most.,8.4,9,"Taxi service has to be pre-ordered for morning journeys, hotel could make this clear in reception area, so guests are not caught out.,

Great location, right in the middle of historical Gent. Close to tram that goes to business Centre in Gent Zuid.Great breakfast and dinner in the restaurant. Staff are friendly and helpful. Preferred hotel for my business trips in Gent.",Solo traveller,Stayed 3 nights,1077,177,86,77
78,Exceptional,9.1,10,"Pleasant welcoming owner, good breakfast.",Couple,Stayed 2 nights,1078,178,67,78
79,Great welcome,9.7,10,"Nothing.,

We liked everything - the room, the breakfasts, the hospitality.",Couple,Stayed 3 nights,1079,179,11,79
80,Very good,7.9,8.3,"A television with cable channels and not just a terrestrial aerial where the picture was un-watchable. I am sure many business travellers, like me, are keen to catch-up on the news and want to relax watching some entertainment programmes.,

The room was comfortable and clean. The staff on reception were extremely helpful.  I did not get chance to use all the facilities, such as the restaurant and breakfast, but there appeared to be a good atmosphere in the bar.",Solo traveller,Stayed 1 night,1080,180,26,80
81,Exceptional,8.2,9.6,Location,Group,Stayed 1 night,1081,181,78,81
82,"Overall, it was rather expensive compared with the value (100 EUR/night).",8.8,6,"On the negative side: The bed was extremely soft and you roll together. The walls are thin, so I could hear other guests and their tv. However, we did book during May holidays so it was probably more expensive than usual.,

On the positive side: the location was very convenient, it is easy to access with a door code, and the owner was clear and communicative.",Couple,Stayed 3 nights,1082,182,97,82
83,Superb,9.2,9.2,"It was no problem for us, but it's handy to know that there isn't a separate bedroom. So, the bed is in the living room.,

Excellent location with a lot of privacy. The house is lovely and the view is perfect. Kind host, but only speaks French.",Solo traveller,Stayed 3 nights,1083,183,2,83
84,Great choice for a short visit to Brussels. Would recommend.,9.2,7.9,"Needs wine and beer glasses and better hand towels.,

Location was perfect with great transport links. Lovely warm apartment. Spacious for three.",Couple,Stayed 5 nights,1084,184,1,84
85,Fabulous,8.5,8.8,"Unique style, and secret parking made my day",People with friends,Stayed 1 night,1085,185,91,85
86,So satisfied! See you very soon.,8.5,10,"???,

Everything but especially home-made diner in self-service to be eaten in your room (Covid-19), and nice breakfast à la carte ordered by Internet.",Solo traveller,Stayed 1 night,1086,186,100,86
87,Very good,7.7,8.3,"The wifi is very patchy and prone to disconnects.,

The apartment comprises of a very large room on the top floor of an apartment house, with a bathroom shared with other tenants. It is in close proximity to a metro station as well as the Church of Our Lady of Laeken and the neighbourhood seems rather quiet (although there was some late-night roadworks happening on one of the nights I was staying there). Overall, the apartment offer excellent value and I would not hesitate to recommend it for a short stay.",Solo traveller,Stayed 3 nights,1087,187,71,87
88,Highly recommended!,8.1,10,"This is a very special little cosy place. The breakfast was excellent. We want to thank the host for her kindness and hospitality. We booked it as the start of our hike along the GR571, which is a 20min walk away.",Couple,Stayed 1 night,1088,188,95,88
89,"Superb location, 3 star hotel.",7.8,6,"Hotel advertises they have parking, only when I got to the hotel I was told I had to book and I have to park in public car park 5 minutes away and pay 22 euros per day. It was quiet upsetting when I looked at the booking email and found it at the very bottom of long email I had to pre-book in advance, booked this hotel because it said has parking :(. Also hotel says is 4 stars, sorry but that’s not true, fairly 3 stars. Room needs a refurbishment, clean corridors and lift.,

Croissants was actually very nice, location very good.",Couple,Stayed 3 nights,1089,189,13,89
90,Amazing B&B in Aalst,9.5,10,"Super friendly and flexible host
Brand new studio, clean and spacious
Huge breakfast!!",Couple,Stayed 1 night,1090,190,56,90
91,Good hotel,8.4,9,"Pillows were not very comfortable. ,

A good hotel in a very central position. Very clean.",Couple,Stayed 2 nights,1091,191,65,91
92,Excellent stay,9.1,10,"Nothing really as although I did not meet hosts personally we had a good communication channel via email,

Apartment is central close to venue. It is clean and the area is very quiet",Solo traveller,Stayed 2 nights,1092,192,58,92
93,Fabulous stylish and spacious accommodation. Warm and friendly,9.7,9.2,"The accommodation was gorgeous, straight out of Pinterest. Great decor, very spacious. Garden was lovely. Box hedges and manicured. The hostess  was gracious, warm and lovely. I would definitely stay there again.",Solo traveller,Stayed 1 night,1093,193,49,93
94,Excellent Restaurant!,7.9,9.2,Nice food and excellent wine selection in the restaurant!,Solo traveller,Stayed 1 night,1094,194,36,94
95,Pleasant,8.2,6,very noisy,Family with young children,Stayed 3 nights,1095,195,43,95
96,A Fantastic place in city center close to everything supermarkets train station pharmacy etc,8.8,10,Very comfortable place and specially the owner is very nice I have 4 days stay..,Solo traveller,Stayed 4 nights,1096,196,25,96
97,Exceptional,9.2,10,"Cosy apartment, well connected to the city centre and institutions aerea via public transports.Owner very kind and available for info and clarifications.",Solo traveller,Stayed 3 nights,1097,197,20,97
98,Enjoyable place right in the city centre.,8.5,9,"Breakfast, Location, Size of the room.",Couple,Stayed 1 night,1098,198,7,98
99,Superb,8.5,9,"The breakfast was good of course but why everything in mini, 1x mini pain au chocolat, 1x mini bun. Would be good to have a normal sized portion for the prize of the breakfast.
Having the mini bar next to my pillow prevented me from falling asleep easily as it gets noisy when it starts up,

Extremely well organised for covid with frozen meals in fridges, microwaves . Really impressive. Loved the jacuzzi bath too !",Wonderful Room with Spa Bath,Submitted via mobile,1099,199,12,99
100,Good,7.7,7.1,"No curtains. Poor WiFi. No breakfast,

Comfortable bed",Solo traveller,Stayed 2 nights,1100,200,17,100
101,Exceptional,7.8,9.6,#NAME?,Couple,Stayed 1 night,1101,201,61,101
102,"Superb rooms, very friendly owners......",9.5,10,"There were 2 single beds + a sofa cum bed.... I'm just someone who personally prefers a king size bed.,

Probably the best B&B  I've seen; they are actually offering you a service apartment with almost a fully equipped & functional kitchen. The whole property is very tastefully furnished.",Solo traveller,Stayed 1 night,1102,202,81,102
103,Good,8.4,7.5,"A bit noisy at night outside the window,

Great location and price with parking available and accommodated pet.",Family with young children,Stayed 2 nights,1103,203,97,103
104,By far the best accommodation in Brussels,9.1,10,"Everything was great.,

An incredibly cosy place really close to the European Quarter (where cosy accommodation is very hard to get). Everything has a friendly, colourful and human touch to it while it still remains trendy and clean. The owners are extremely lovely and nothing's ever a problem for them. The room had everything I could possibly need and was very peaceful. The breakfast was always a highlight of my day – beautifully presented, with so many great healthy and not-so-healthy options, combining organic and locally produced goodies with Belgian classics. This was my second time in B&B Place Jourdan and I hope to come back again.",Solo traveller,Stayed 2 nights,1104,204,15,104
105,Exceptional,9.7,9.6,"-,

This b&b is something very Special. The house is situated right in the middle of huge Garden. The rooms are very big and cosy. I for example hat a bedroom and a seoerate living with a big desk for work. Great. Liesbeth the owner is very frindly and carring, she was still awake, eventhough I arrived at 10:30 pm. The breakfast is perfekt, fresh orange juice , fresh eggs and excelent Quality of Food. Ist really worth the Money Thank you Liesbeth",Solo traveller,Stayed 1 night,1105,205,24,105
106,Good,7.9,7.5,"Breakfast was a bit limited, not included in the not very cheap price of the room. Water took very long to heat up in the shower, maybe because room was on the top floor but this was rather wasteful.,

Helpful and responsive staff. Room was quite a big apartment. Nice private parking despite being inbthe middle of the city.",Couple,Stayed 1 night,1106,206,28,106
107,Good place for calm stay,8.2,10,"Madam Christine was very helpful. Helped us to bring our car to the parking place and to bring our luggage. She explained everything about the apartment and the city itself. With her hospitality and kindness we felt like at home. The apartment is located in the very centrer of the city, it is big enough to accommodate 4 people (two adults and two kids). Very specious bedroom. Apartment very clean. The kitchen was fully equipped. We spend there very pleasant time.",Family with young children,Stayed 1 night,1107,207,89,107
108,Fantastic weekend,8.8,10,"Location, facilities and everything was good. Johan and his co-host were nice and excellent at communication.",Solo traveller,Stayed 2 nights,1108,208,8,108
109,Perfect property for a comfortable stay.,9.2,9.6,"The property is spacious, clean, fully equipped and closed to public transport to the inner town.",Couple,Stayed 8 nights,1109,209,37,109
110,Superb,8.5,9.2,"Pillows need review.,

Great place which i always consider as top choice, great breakfast and fantastic staff",Couple,Stayed 3 nights,1110,210,81,110
111,"Great hotel, would love to go again.",8.5,9,"Nothing,

Very easy check-in (nobody at reception, but instructions were given via email and were very clear). The room was very clean, beautiful bathroom with rituals soap. The new windows blocked out the noise of  the trains. 
Thanks to the foodcorner we had a very nice dinner (Lasagna and ice cream), and breakfast in the room was also very good (large choice available).
Would love to go again :)",Couple,Stayed 1 night,1111,211,25,111
112,Family style house with room availability,7.7,7.1,"Paying for everything up front in cash was a little inconvenient,  would have preferred card payment option,

Very big room,  comfortable bed, Belgian beer on arrival.",Solo traveller,Stayed 3 nights,1112,212,97,112
113,Great stay in Blankenberge,7.8,9.6,"Best of everything in the center of the town, short stroll to the beach and shopping around the corner.
Staff is professional and very friendly.
Best breakfast and nice dining.",Family with young children,Stayed 1 night,1113,213,32,113
114,Exceptional,9.5,10,There are no comments available for this review,Solo traveller,Stayed 5 nights,1115,215,64,114
115,Superb,8.4,9,"Absolutely nothing,

Even though the program fell down the whole day, the desk manager did everything to have a fluid check in check out for all the visitors waiting. Great person!",Solo traveller,Stayed 1 night,1116,216,31,115
116,"I liked it here, everything worked",9.1,9,"the lighting in room - I would prefer more / stronger,

amazingly comfortable and big bedpleasant atmosphere at breakfast thanks to the room and music, the offer was of everything and there were instructions at wall (e.g. to boil the egg) owners ready to help really close to Place Jourdan",Solo traveller,Stayed 1 night,1117,217,68,116
117,Just perfect,9.7,10,Liesbeth was a most amazing host. Lovely person and incredible premises she has on offer. Truly enjoyed the stay.,Solo traveller,Stayed 1 night,1118,218,36,117
118,This part of Belgium (Wallonia) tends to be French-speaking only. Communication can be difficult.,7.9,8.8,"The entrance to the hotel's private parking is very narrow, even for a small car. After having been on the road for 5 hours due to a massive traffic jam on the highways around Lille, I was tired, and I sustained some damage to my car on the side of the entrance as I was driving into the parking terrein. Examination of the entrance shows many traces of where other cars have scraped against the sides of the entrance, so it is evident that other motorists have sustained damage to their cars on this entrance. Parking on the street in front of the hotel is possible though, but it is not free, and as it is a fairly busy street, there is thus no assurance that a parked car will not be damaged there either.,

The restaurant served good food, at reasonable prices. The staff were friendly and did their best to accommodate, in spite of the language barrier. However, there were a couple of staff members who did speak reasonable enough English to facilitate communication. Room was clean and comfortable.",Group,Stayed 2 nights,1119,219,41,118
119,Exceptional,8.2,10,"Very central, and easy parking location.
Very helpful , easy check in. Recomend if staying at Durbuy
Thanks again",Family with young children,Stayed 1 night,1120,220,9,119
120,Superb,8.8,9,There are no comments available for this review,Couple,Stayed 1 night,1121,221,5,120
121,Good,9.2,7,"Sorting out the bin bags was not straight forward. The picture on the booklet is not very clear. Location is 20 mins walk from the city centre.,

Perfect size one-bedroom apartment. Plenty of lights with big french windows (ceiling to floor) which allows the light to brighten up the flat. I wish I asked the host if we could open them to allow some fresh air in.",Couple,Stayed 2 nights,1122,222,8,121
122,Superb,8.5,9.2,"Noise level at night. Room was overlooking the street.,

The hotel was located near the tram station and was walking distance to the grand place. Very convenient. 
Room was big and comfortable.",Family with young children,Stayed 2 nights,1123,223,60,122
123,Very good,8.5,8,"small cleaning issues, in cupboard you could see someone didnt clean for a while. one small issue, lack of toilet paper( funny, but we received the room with last "" pieces"".. could be nice to have another roll on the side.,

nice place, quiet, with small terrace, was exactly what we needed",Couple,Stayed 1 night,1124,224,79,123
124,"Take ear plugs, good book and camping utensils!",7.7,6.7,"Despite having a fridge and microwave there were no plates or cutlery to use with the microwave! If you stay in the room facing the road beware it can be incredibly noisy. The tram passes right under your window and as the Brico is just round the corner, the delivery entrance is about 6 doors away and so you can imagine the noise you get from delivery lorries at 04.00. Plus of course rubbish collection at 02.00 and all the other deliveries for the shops and restaurants and the rattle and ding ding of the tram until about midnight!! Also, maybe a glitch, but the WiFi didn’t work at all well for my stay.,

The host was lovely. The accommodation is a large room with a high ceiling. Fridge and microwave in the room, with a table to eat at. Comfy bed, lots of windows and a nice sofa with cushions to lounge on. Nicely decorated and very clean.",Solo traveller,Stayed 3 nights,1125,225,25,124
125,"the sad impression to be at work, in a place like everywhere else",7.8,5,"the international standard of everything, the lobby like a passage to nowhere, the bedroom so grey, the invisibility of the sea so close, and the too high price.,

the little swimming pool",Couple,Stayed 1 night,1126,226,37,125
126,Very good,9.5,8,There are no comments available for this review,Solo traveller,Stayed 2 nights,1127,227,12,126
127,Conference stay in beautiful Ghent,8.4,9,"You could hear morning noise from the street and from the room above. Pillows way to hard but in their defense I didn't ask for different ones so not sure if they had better ones. ,

Amazing location right in the center of Ghent. Restaurants bars and shopping less than 5 minutes walk. Tram to get back to train station very close by.",People with friends,Stayed 3 nights,1128,228,36,127
128,Great father-son getaway in Brussels,9.1,9.2,"Although the Etterbeek neighborhood is great, this place is a wee bit too far from the metro stations if you need to get around by public transport. Plus, the host persuaded us not to have breakfast (saving 40€ althogether, though), while other guests could have it.,

My son said that the upstairs apartment – where we were put up – is like a ""den"" but in a good way. We really had our little place, with a kitchen, great sitting spaces, and even a selection of DVDs. The good thing about the location is that there are some great cafés, restaurants close by, as well as a Sunday market on Place Jourdan. (We chose the location for Autoworld in Parc Cinquantenaire.)",Family with young children,Stayed 2 nights,1129,229,49,128
